customer_name,City,customer_id
Neha Khan,Chennai,C1
Kiran Khan,unknown,C2
Sneha Sharma,Chennai,C3
Anjali Sharma,Mumbai,C4
Sneha Iyer,Delhi,C5
Anjali Reddy,Chennai,C6
Sneha Khan,Pune,C7
Vikas Khan,Pune,C8
Amit Joshi,Mumbai,C9
Neha Gupta,Bangalore,C10
unknown,Mumbai,C11
Vikas Khan,Bangalore,C12
Sneha Joshi,Bangalore,C13
Kiran Nair,Delhi,C14
Neha Khan,unknown,C15
Rahul Khan,Pune,C16
Neha Khan,Hyderabad,C17
Priya Patel,Mumbai,C18
unknown,Pune,C19
unknown,Hyderabad,C20
Amit Iyer,Hyderabad,C21
Neha Verma,Bangalore,C22
Anjali Sharma,Chennai,C23
Priya Iyer,Delhi,C24
Arjun Sharma,Chennai,C25
Anjali Reddy,Pune,C26
Rahul Verma,Pune,C27
Neha Yadav,Delhi,C28
Anjali Yadav,Bangalore,C29
Sneha Patel,Bangalore,C30
Anjali Joshi,unknown,C31
Kiran Sharma,Mumbai,C32
Neha Reddy,Hyderabad,C33
Priya Khan,unknown,C34
Arjun Reddy,unknown,C35
Sneha Joshi,Mumbai,C36
Priya Yadav,Mumbai,C37
Kiran Gupta,Mumbai,C38
Arjun Nair,Hyderabad,C39
Rahul Khan,Chennai,C40
Amit Khan,Hyderabad,C41
Rahul Khan,Chennai,C42
Arjun Yadav,unknown,C43
Pooja Verma,Mumbai,C44
Amit Verma,Hyderabad,C45
unknown,Delhi,C46
unknown,Mumbai,C47
Kiran Verma,Hyderabad,C48
Vikas Reddy,Delhi,C49
Pooja Sharma,Chennai,C50
Neha Khan,unknown,C51
unknown,Pune,C52
Pooja Gupta,Mumbai,C53
unknown,Bangalore,C54
Rahul Gupta,unknown,C55
Kiran Verma,Chennai,C56
unknown,unknown,C57
Amit Khan,Delhi,C58
Sneha Verma,Chennai,C59
Priya Gupta,Pune,C60
Vikas Iyer,Pune,C61
Rahul Nair,Chennai,C62
Pooja Iyer,Pune,C63
Neha Patel,Delhi,C64
Vikas Gupta,Mumbai,C65
Sneha Sharma,Hyderabad,C66
unknown,unknown,C67
Priya Nair,Delhi,C68
unknown,Mumbai,C69
Amit Khan,Bangalore,C70
Neha Iyer,Chennai,C71
Kiran Sharma,Hyderabad,C72
Arjun Patel,Chennai,C73
Pooja Verma,Delhi,C74
unknown,Delhi,C75
Amit Iyer,Delhi,C76
Anjali Iyer,Hyderabad,C77
Amit Iyer,unknown,C78
unknown,unknown,C79
Arjun Iyer,Bangalore,C80
Kiran Yadav,Bangalore,C81
Pooja Nair,Delhi,C82
Kiran Gupta,Mumbai,C83
Pooja Gupta,Pune,C84
Anjali Yadav,Delhi,C85
Priya Patel,Pune,C86
Rahul Joshi,Mumbai,C87
Priya Verma,unknown,C88
Amit Sharma,Hyderabad,C89
Arjun Gupta,Chennai,C90
Priya Joshi,Hyderabad,C91
Arjun Iyer,Hyderabad,C92
unknown,Chennai,C93
Arjun Reddy,unknown,C94
Amit Khan,Pune,C95
Vikas Gupta,Mumbai,C96
Vikas Patel,Delhi,C97
Rahul Sharma,unknown,C98
Neha Iyer,Pune,C99
Amit Sharma,Delhi,C100
Neha Nair,Delhi,C101
Anjali Verma,Mumbai,C102
unknown,Delhi,C103
Priya Sharma,Delhi,C104
Vikas Verma,Hyderabad,C105
Vikas Nair,Delhi,C106
Neha Reddy,Mumbai,C107
Sneha Sharma,unknown,C108
Neha Yadav,Mumbai,C109
Anjali Khan,Mumbai,C110
Anjali Iyer,unknown,C111
Neha Iyer,Delhi,C112
Amit Gupta,unknown,C113
unknown,Delhi,C114
Arjun Verma,Chennai,C115
Neha Iyer,Hyderabad,C116
Anjali Verma,Delhi,C117
unknown,unknown,C118
Arjun Sharma,Mumbai,C119
Neha Reddy,Pune,C120
Arjun Patel,Bangalore,C121
Sneha Reddy,Bangalore,C122
Vikas Iyer,unknown,C123
Kiran Patel,Pune,C124
Neha Joshi,Chennai,C125
Kiran Iyer,Delhi,C126
Sneha Reddy,Hyderabad,C127
Rahul Yadav,Bangalore,C128
Pooja Iyer,Chennai,C129
Kiran Nair,Chennai,C130
Rahul Reddy,Bangalore,C131
Amit Reddy,Delhi,C132
Kiran Reddy,unknown,C133
Pooja Reddy,Bangalore,C134
Arjun Gupta,Bangalore,C135
Amit Nair,Bangalore,C136
unknown,Delhi,C137
Priya Joshi,Hyderabad,C138
Pooja Joshi,Chennai,C139
Sneha Yadav,Chennai,C140
unknown,Pune,C141
Arjun Joshi,unknown,C142
Arjun Yadav,Pune,C143
Sneha Reddy,Hyderabad,C144
Anjali Sharma,Chennai,C145
Pooja Yadav,Delhi,C146
unknown,unknown,C147
Kiran Verma,Delhi,C148
unknown,Hyderabad,C149
Neha Patel,Mumbai,C150
Amit Patel,Delhi,C151
Sneha Gupta,Delhi,C152
Vikas Khan,Delhi,C153
Rahul Joshi,unknown,C154
Neha Khan,Delhi,C155
Amit Iyer,Mumbai,C156
Priya Reddy,Pune,C157
Kiran Gupta,Delhi,C158
unknown,Pune,C159
Amit Iyer,Pune,C160
Vikas Gupta,Delhi,C161
Sneha Iyer,Pune,C162
Neha Nair,Pune,C163
Priya Sharma,Mumbai,C164
Arjun Reddy,unknown,C165
Anjali Iyer,Pune,C166
Priya Gupta,Pune,C167
Rahul Nair,Mumbai,C168
Anjali Iyer,Pune,C169
Vikas Nair,Chennai,C170
Arjun Verma,Mumbai,C171
Priya Nair,Chennai,C172
Priya Nair,unknown,C173
Neha Patel,Mumbai,C174
Amit Nair,Hyderabad,C175
Pooja Patel,Pune,C176
Neha Yadav,Mumbai,C177
Amit Reddy,Pune,C178
Amit Sharma,Chennai,C179
Arjun Patel,Chennai,C180
Neha Joshi,Delhi,C181
Neha Joshi,Hyderabad,C182
Sneha Sharma,Pune,C183
Rahul Yadav,Chennai,C184
Sneha Iyer,Hyderabad,C185
Amit Nair,Mumbai,C186
Anjali Reddy,Pune,C187
Arjun Iyer,Hyderabad,C188
